,social,finance,health,Label asli,Label prediksi,Prediksi benar
6105,2,0,2,1,1,True
8078,2,1,0,0,0,True
11421,0,1,2,2,1,False
1598,2,1,0,0,0,True
8858,0,0,0,0,0,True
197,1,1,0,0,0,True
9529,1,0,1,1,2,False
8390,0,0,0,0,0,True
4313,0,1,0,0,0,True
8130,2,1,2,2,1,False
6101,1,1,0,0,0,True
12518,1,0,0,0,0,True
5464,0,1,1,1,2,False
8595,0,1,2,2,1,False
3011,2,0,0,0,0,True
11584,0,1,1,2,2,True
10084,2,0,1,2,2,True
3406,2,0,1,1,2,False
2949,1,1,2,2,1,False
1381,2,1,1,1,2,False
11037,2,0,2,2,1,False
5655,2,0,2,1,1,True
2603,0,1,0,0,0,True
3905,1,1,0,0,0,True
8378,1,0,0,0,0,True
932,2,1,0,0,0,True
10173,2,0,2,1,1,True
12568,2,0,1,2,2,True
9040,2,0,1,2,2,True
6483,2,0,2,1,1,True
4427,1,1,0,0,0,True
8523,0,1,2,2,1,False
7327,0,0,1,2,2,True
9414,0,0,2,1,1,True
6351,1,1,2,1,1,True
2255,2,0,0,0,0,True
983,0,1,0,0,0,True
1989,0,1,2,1,1,True
1702,0,1,1,1,2,False
12559,2,1,1,2,2,True
7647,1,1,2,2,1,False
12789,0,1,2,2,1,False
2734,1,1,1,2,2,True
5934,2,1,2,1,1,True
11742,1,0,2,2,1,False
7178,2,1,0,0,0,True
6707,0,1,0,0,0,True
6426,0,0,2,1,1,True
3231,0,1,2,1,1,True
574,1,1,1,1,2,False
10585,0,0,1,2,2,True
2275,1,0,1,1,2,False
9782,1,0,0,0,0,True
12005,1,1,0,0,0,True
8599,2,1,1,2,2,True
6475,2,1,1,2,2,True
8868,2,1,2,1,1,True
8245,0,0,1,2,2,True
5395,2,1,1,1,2,False
1493,1,1,0,0,0,True
11834,1,0,0,0,0,True
5843,0,1,0,0,0,True
3268,0,1,1,2,2,True
9153,0,1,2,1,1,True
8970,1,0,2,1,1,True
9577,0,0,1,1,2,False
4636,0,1,1,1,2,False
6143,2,0,0,0,0,True
7448,2,1,0,0,0,True
1445,2,0,0,0,0,True
4458,2,1,2,1,1,True
6641,1,1,0,0,0,True
5499,0,1,2,1,1,True
7512,1,0,2,2,1,False
11550,2,1,2,2,1,False
6166,0,1,1,2,2,True
10973,0,1,0,0,0,True
10612,0,1,1,2,2,True
9901,0,0,1,2,2,True
8654,2,1,0,0,0,True
10764,0,0,2,2,1,False
1610,1,0,0,0,0,True
8813,0,1,0,0,0,True
7854,1,0,2,2,1,False
9355,2,1,1,2,2,True
9051,1,1,2,2,1,False
9983,0,1,0,0,0,True
4631,2,0,0,0,0,True
2952,0,0,2,1,1,True
65,0,1,0,0,0,True
9204,1,0,2,2,1,False
1900,0,1,1,1,2,False
8304,1,0,2,2,1,False
8828,1,0,0,0,0,True
2590,1,1,1,1,2,False
6532,1,1,1,2,2,True
11923,1,0,1,2,2,True
12484,0,1,1,2,2,True
684,0,0,2,1,1,True
1553,2,0,0,0,0,True
2071,0,0,1,1,2,False
11611,0,0,1,2,2,True
3166,1,1,1,2,2,True
9863,1,1,0,0,0,True
2184,1,0,2,1,1,True
3878,1,0,0,0,0,True
9169,1,0,1,2,2,True
3080,0,0,0,0,0,True
10771,1,0,1,2,2,True
10741,2,1,1,2,2,True
7080,1,0,2,2,1,False
12635,1,1,0,0,0,True
4709,0,1,0,0,0,True
10181,0,1,0,0,0,True
5131,0,0,1,1,2,False
9186,1,0,2,1,1,True
10821,2,0,2,1,1,True
6497,1,1,0,0,0,True
3402,0,0,2,1,1,True
8343,0,1,2,2,1,False
6605,1,1,0,0,0,True
4996,0,1,1,1,2,False
715,2,1,1,1,2,False
4040,1,0,0,0,0,True
9631,0,0,1,2,2,True
3341,0,1,0,0,0,True
4146,1,0,2,2,1,False
3635,1,1,0,0,0,True
8578,0,1,1,2,2,True
1252,0,1,1,1,2,False
7291,0,0,1,2,2,True
6518,0,0,0,0,0,True
4589,1,1,0,0,0,True
8600,2,1,0,0,0,True
4949,1,1,0,0,0,True
7220,0,0,0,0,0,True
10953,0,1,2,2,1,False
6512,2,1,0,0,0,True
7405,1,0,1,2,2,True
8545,2,1,1,2,2,True
401,2,0,0,0,0,True
8864,1,0,0,0,0,True
9114,1,0,2,2,1,False
1821,2,0,2,1,1,True
10494,0,0,2,2,1,False
12651,1,1,2,2,1,False
6938,1,0,0,0,0,True
5077,0,0,1,1,2,False
8671,2,1,1,1,2,False
9176,2,1,0,0,0,True
5240,0,0,0,0,0,True
173,0,1,0,0,0,True
1311,1,1,2,1,1,True
7622,1,0,0,0,0,True
11539,0,0,1,2,2,True
5982,1,0,2,1,1,True
8752,2,0,1,1,2,False
7214,2,1,0,0,0,True
2555,1,1,0,0,0,True
1449,0,1,2,1,1,True
227,0,1,0,0,0,True
2273,2,0,0,0,0,True
7099,1,0,1,2,2,True
287,1,1,0,0,0,True
6011,1,1,0,0,0,True
2814,1,0,2,1,1,True
3706,1,1,1,2,2,True
11720,0,0,0,0,0,True
5979,2,0,2,1,1,True
7944,1,0,2,2,1,False
644,2,1,0,0,0,True
881,1,1,0,0,0,True
10408,2,0,1,2,2,True
808,1,1,1,1,2,False
423,0,1,2,1,1,True
5301,0,1,2,1,1,True
9073,0,0,1,1,2,False
5764,2,0,1,1,2,False
10366,1,1,1,2,2,True
1034,1,0,0,0,0,True
8818,1,1,1,2,2,True
8501,2,0,0,0,0,True
4289,2,0,0,0,0,True
12769,1,0,1,2,2,True
12139,1,0,1,2,2,True
1619,1,1,0,0,0,True
10994,2,1,0,0,0,True
7969,2,1,1,2,2,True
10205,1,1,0,0,0,True
12633,1,1,2,2,1,False
4117,2,1,1,2,2,True
7047,0,1,2,2,1,False
7177,2,1,1,2,2,True
11540,0,0,0,0,0,True
9210,2,1,2,1,1,True
12479,2,0,0,0,0,True
7480,0,1,1,2,2,True
335,0,1,0,0,0,True
4161,2,0,2,1,1,True
9556,1,1,1,1,2,False
1229,2,0,0,0,0,True
6202,0,1,1,2,2,True
5855,2,0,0,0,0,True
10374,1,0,2,1,1,True
6659,1,1,0,0,0,True
3815,1,1,0,0,0,True
9605,0,1,0,0,0,True
10935,0,1,2,2,1,False
1611,0,1,2,1,1,True
7089,1,1,2,2,1,False
6880,2,0,1,2,2,True
1285,1,0,1,1,2,False
9831,2,0,2,1,1,True
1357,1,0,1,1,2,False
1876,2,0,1,1,2,False
7554,2,1,2,2,1,False
6489,0,1,2,1,1,True
4909,2,1,1,1,2,False
6270,1,0,2,1,1,True
8662,2,0,1,1,2,False
5746,2,0,1,1,2,False
11034,0,0,2,2,1,False
5476,2,0,1,1,2,False
3198,2,1,2,1,1,True
12215,0,1,0,0,0,True
11991,2,0,2,1,1,True
4582,0,1,1,1,2,False
7151,2,0,0,0,0,True
9132,1,0,2,1,1,True
3379,2,1,1,2,2,True
4224,2,1,2,2,1,False
8667,0,1,2,1,1,True
12800,0,0,0,0,0,True
4979,0,1,0,0,0,True
9050,2,1,0,0,0,True
6031,0,0,1,1,2,False
4989,2,0,2,1,1,True
4774,2,0,1,1,2,False
157,2,1,1,1,2,False
7620,1,0,2,2,1,False
7132,2,0,1,2,2,True
2827,0,0,1,1,2,False
61,1,0,1,1,2,False
4108,2,0,1,2,2,True
103,2,1,1,1,2,False
504,0,0,2,1,1,True
3130,1,1,1,2,2,True
11596,2,0,1,2,2,True
4470,1,0,2,1,1,True
5600,0,0,0,0,0,True
6108,1,0,2,1,1,True
4812,1,0,2,1,1,True
8678,0,0,0,0,0,True
9620,1,0,0,0,0,True
10773,0,1,2,2,1,False
404,1,0,0,0,0,True
12110,2,1,0,0,0,True
11,0,1,0,0,0,True
1096,1,1,1,1,2,False
12282,1,0,2,2,1,False
1482,1,0,2,1,1,True
5789,0,1,0,0,0,True
8983,0,0,1,2,2,True
9301,2,1,1,2,2,True
5936,2,1,0,0,0,True
353,0,1,0,0,0,True
4297,2,1,1,2,2,True
6093,0,1,2,1,1,True
4423,2,1,1,1,2,False
9609,1,1,2,2,1,False
9019,0,0,1,1,2,False
12638,0,0,0,0,0,True
3182,2,1,0,0,0,True
12480,1,0,2,2,1,False
8860,2,0,1,1,2,False
2774,0,0,0,0,0,True
7483,2,1,1,2,2,True
1768,2,0,1,1,2,False
10781,1,1,0,0,0,True
1835,1,1,0,0,0,True
3314,0,0,0,0,0,True
11872,0,1,1,2,2,True
6962,2,1,0,0,0,True
4409,1,1,0,0,0,True
12864,2,1,2,2,1,False
6491,0,1,0,0,0,True
9521,1,1,0,0,0,True
3602,0,0,0,0,0,True
9128,0,0,0,0,0,True
4581,0,1,2,1,1,True
10595,0,1,0,0,0,True
3844,0,1,1,2,2,True
2682,0,0,2,1,1,True
3117,2,0,2,1,1,True
135,0,1,2,1,1,True
3046,2,0,1,1,2,False
8555,2,0,0,0,0,True
8275,2,1,1,2,2,True
2752,1,1,1,2,2,True
9783,0,1,2,1,1,True
7795,0,0,1,2,2,True
2225,0,1,0,0,0,True
9034,1,1,1,2,2,True
12724,1,1,1,2,2,True
8296,1,1,1,2,2,True
9151,1,0,1,2,2,True
7835,2,0,0,0,0,True
9888,1,0,2,1,1,True
4453,1,0,1,1,2,False
595,0,0,1,1,2,False
11503,0,0,1,2,2,True
9384,1,0,2,2,1,False
2344,2,0,1,1,2,False
10866,2,1,2,2,1,False
5134,2,0,1,1,2,False
9095,2,0,0,0,0,True
8664,1,0,2,1,1,True
3799,0,0,1,2,2,True
481,2,1,1,1,2,False
2818,0,1,1,1,2,False
4275,0,1,2,2,1,False
9630,0,0,2,1,1,True
1267,1,0,1,1,2,False
1470,2,1,2,1,1,True
8076,2,1,2,1,1,True
8867,0,1,0,0,0,True
11335,2,1,1,2,2,True
10336,2,0,1,2,2,True
6240,2,1,2,1,1,True
5350,2,0,1,1,2,False
12271,2,1,1,2,2,True
9527,2,0,0,0,0,True
5964,1,0,2,1,1,True
3141,0,1,2,1,1,True
9482,2,1,0,0,0,True
10745,1,1,0,0,0,True
10437,1,1,2,2,1,False
6201,0,1,2,1,1,True
10981,0,0,1,2,2,True
10445,2,0,0,0,0,True
4858,1,1,1,1,2,False
4731,1,1,2,1,1,True
10814,2,1,0,0,0,True
2347,1,0,1,1,2,False
8144,1,0,0,0,0,True
11677,2,1,1,2,2,True
121,2,1,1,1,2,False
8852,2,1,0,0,0,True
7261,1,0,1,2,2,True
12127,2,1,1,2,2,True
2809,0,0,1,1,2,False
11733,1,1,2,2,1,False
2407,2,1,1,1,2,False
4210,1,1,1,2,2,True
11844,0,0,2,2,1,False
8530,1,1,1,2,2,True
3542,2,1,0,0,0,True
346,2,0,1,1,2,False
2012,2,1,0,0,0,True
11215,0,0,1,2,2,True
6748,1,1,1,2,2,True
1060,1,1,1,1,2,False
5506,1,1,1,1,2,False
3666,2,1,2,2,1,False
124,1,1,1,1,2,False
8049,2,0,2,1,1,True
10724,2,1,0,0,0,True
2871,0,1,2,1,1,True
4071,2,0,2,2,1,False
5124,2,1,2,1,1,True
3503,0,1,0,0,0,True
3760,1,1,1,2,2,True
11867,2,0,0,0,0,True
487,0,0,1,1,2,False
7640,1,0,0,0,0,True
1539,0,1,2,1,1,True
11957,2,0,0,0,0,True
11033,1,1,0,0,0,True
5100,1,0,2,1,1,True
9995,2,0,0,0,0,True
12452,2,1,0,0,0,True
8141,2,0,0,0,0,True
12459,2,0,2,2,1,False
4940,1,0,0,0,0,True
125,1,1,0,0,0,True
4650,1,0,2,1,1,True
4051,0,0,1,2,2,True
6892,1,1,1,2,2,True
1899,0,1,2,1,1,True
4298,2,1,0,0,0,True
7369,1,0,1,2,2,True
10217,0,1,0,0,0,True
6538,2,0,1,1,2,False
4610,0,0,0,0,0,True
904,2,0,1,1,2,False
7059,2,0,2,2,1,False
6664,2,0,1,2,2,True
3059,1,1,0,0,0,True
43,1,0,1,1,2,False
10584,0,0,2,1,1,True
10686,2,1,2,2,1,False
10487,0,1,0,0,0,True
8059,2,1,1,2,2,True
10155,2,0,2,1,1,True
10530,0,0,2,1,1,True
1874,0,0,0,0,0,True
2131,1,0,1,1,2,False
3125,0,1,0,0,0,True
12326,2,1,0,0,0,True
4932,0,0,2,1,1,True
9287,1,1,0,0,0,True
4044,2,1,2,2,1,False
5877,0,1,2,1,1,True
8579,0,1,0,0,0,True
9545,2,0,0,0,0,True
7938,0,0,2,1,1,True
3854,0,0,0,0,0,True
3005,1,1,0,0,0,True
1402,1,1,1,1,2,False
2669,2,0,0,0,0,True
5592,2,1,2,1,1,True
12254,2,1,0,0,0,True
3420,0,0,2,1,1,True
5154,1,0,2,1,1,True
4201,1,0,1,2,2,True
9308,0,0,0,0,0,True
1969,1,0,1,1,2,False
4972,2,0,1,1,2,False
4142,0,0,0,0,0,True
7799,2,0,0,0,0,True
5687,1,1,0,0,0,True
11467,0,0,1,2,2,True
4294,0,1,1,2,2,True
10201,2,1,1,2,2,True
12359,0,1,0,0,0,True
12554,1,0,0,0,0,True
11903,2,0,0,0,0,True
5885,1,1,0,0,0,True
9246,2,1,2,1,1,True
8359,1,0,1,2,2,True
6793,1,0,1,2,2,True
4241,0,1,0,0,0,True
6822,0,0,2,1,1,True
917,1,1,0,0,0,True
3211,1,0,1,2,2,True
7862,2,1,0,0,0,True
11177,1,1,0,0,0,True
1085,2,0,0,0,0,True
7742,0,0,0,0,0,True
9757,0,0,1,2,2,True
1397,0,1,0,0,0,True
10420,1,1,1,2,2,True
4510,0,1,1,1,2,False
8140,2,0,1,2,2,True
253,0,0,1,1,2,False
7238,0,0,0,0,0,True
9368,1,0,0,0,0,True
12380,2,1,0,0,0,True
8919,0,1,2,1,1,True
8341,1,0,1,2,2,True
511,1,0,1,1,2,False
7433,1,1,0,0,0,True
815,2,0,0,0,0,True
4251,2,0,2,2,1,False
375,1,1,2,1,1,True
7637,2,0,0,0,0,True
2111,2,0,0,0,0,True
10978,1,1,1,2,2,True
12508,1,1,1,2,2,True
5442,1,0,2,1,1,True
3683,0,1,0,0,0,True
3744,0,0,2,1,1,True
5436,0,0,2,1,1,True
11706,1,0,2,2,1,False
1628,1,0,0,0,0,True
4688,1,0,0,0,0,True
5837,2,0,0,0,0,True
3690,0,0,2,1,1,True
2110,2,0,1,1,2,False
7065,0,1,2,2,1,False
2671,1,0,1,1,2,False
3016,0,1,1,2,2,True
3153,2,0,2,1,1,True
1922,2,1,0,0,0,True
90,0,0,2,1,1,True
7733,0,1,0,0,0,True
509,2,0,0,0,0,True
7665,1,1,2,2,1,False
9856,0,1,1,2,2,True
709,1,0,1,1,2,False
1222,1,1,1,1,2,False
6969,2,0,2,1,1,True
11345,2,0,0,0,0,True
12449,0,1,0,0,0,True
1581,1,1,2,1,1,True
10185,1,1,2,2,1,False
3850,1,1,1,2,2,True
8587,0,0,1,2,2,True
5125,2,1,1,1,2,False
12263,2,0,0,0,0,True
8938,0,1,1,1,2,False
12203,1,1,0,0,0,True
10329,1,1,2,2,1,False
11672,1,0,0,0,0,True
1646,1,0,0,0,0,True
7400,0,0,0,0,0,True
8968,2,0,1,1,2,False
5822,1,0,0,0,0,True
7116,1,0,2,2,1,False
4327,1,0,1,1,2,False
4186,0,1,1,2,2,True
4407,1,1,2,1,1,True
10998,0,0,2,2,1,False
4569,1,1,2,1,1,True
4958,1,0,0,0,0,True
2741,2,0,0,0,0,True
9597,2,0,2,1,1,True
123,1,1,2,1,1,True
8597,0,1,0,0,0,True
7388,1,0,0,0,0,True
11881,0,0,1,2,2,True
9872,1,0,0,0,0,True
1025,1,1,0,0,0,True
9191,0,1,0,0,0,True
3098,0,0,0,0,0,True
7842,2,1,2,1,1,True
8404,1,1,1,2,2,True
12289,2,1,1,2,2,True
10923,1,1,2,2,1,False
6213,2,0,2,1,1,True
5441,2,0,0,0,0,True
10803,2,0,2,1,1,True
3551,2,0,0,0,0,True
2419,1,0,1,1,2,False
11673,0,1,2,1,1,True
805,2,1,1,1,2,False
589,2,1,1,1,2,False
10705,2,1,1,2,2,True
3570,1,0,2,2,1,False
10028,0,0,0,0,0,True
6950,0,0,0,0,0,True
4538,0,0,0,0,0,True
5576,2,1,0,0,0,True
4246,1,1,1,2,2,True
10435,2,1,1,2,2,True
25,1,0,1,1,2,False
8612,1,0,0,0,0,True
11308,2,0,1,2,2,True
9639,0,1,2,1,1,True
11911,2,1,1,2,2,True
7502,2,1,0,0,0,True
5081,2,0,0,0,0,True
11901,2,0,2,2,1,False
1756,0,1,1,1,2,False
1855,0,0,1,1,2,False
11387,0,1,0,0,0,True
6791,2,0,0,0,0,True
363,2,0,2,1,1,True
6285,2,0,2,1,1,True
9947,0,1,0,0,0,True
1528,1,1,1,1,2,False
4600,0,1,1,1,2,False
1193,2,0,0,0,0,True
12947,2,0,0,0,0,True
12088,0,1,1,2,2,True
10287,0,1,2,1,1,True
4408,1,1,1,1,2,False
6039,0,1,2,1,1,True
2241,0,1,2,1,1,True
5931,0,1,2,1,1,True
3329,1,1,0,0,0,True
4193,1,1,0,0,0,True
303,1,1,2,1,1,True
5869,0,0,1,1,2,False
10989,0,1,2,2,1,False
829,0,0,1,1,2,False
3146,2,1,0,0,0,True
5067,0,1,2,1,1,True
2720,0,0,0,0,0,True
3774,2,1,2,2,1,False
2615,2,0,0,0,0,True
527,2,0,0,0,0,True
12381,1,1,2,2,1,False
3486,2,1,2,1,1,True
3082,2,0,1,1,2,False
5905,0,0,1,1,2,False
2811,2,0,2,1,1,True
6069,2,0,2,1,1,True
7054,1,1,1,2,2,True
1736,1,0,0,0,0,True
12733,1,0,1,2,2,True
2159,1,1,0,0,0,True
812,0,0,0,0,0,True
3318,1,0,2,2,1,False
5320,0,1,1,1,2,False
12917,0,1,0,0,0,True
2203,1,0,1,1,2,False
2521,0,0,1,1,2,False
10829,0,1,0,0,0,True
3161,0,1,0,0,0,True
11574,0,0,2,2,1,False
10141,1,0,1,2,2,True
838,0,1,1,1,2,False
2448,0,0,2,1,1,True
8467,1,0,1,2,2,True
7694,1,0,0,0,0,True
4980,2,1,2,1,1,True
4577,2,0,0,0,0,True
9500,2,1,0,0,0,True
10481,2,0,0,0,0,True
3645,0,1,2,2,1,False
9780,1,0,2,1,1,True
10192,2,0,1,2,2,True
2243,0,1,0,0,0,True
1335,2,0,2,1,1,True
5682,2,1,2,1,1,True
4633,1,0,1,1,2,False
8249,2,0,0,0,0,True
12065,2,0,0,0,0,True
2732,2,1,0,0,0,True
1761,1,1,2,1,1,True
8647,1,0,1,1,2,False
9470,0,0,0,0,0,True
8535,2,0,2,1,1,True
8270,1,0,0,0,0,True
970,1,1,1,1,2,False
12832,1,1,1,2,2,True
7701,1,1,2,2,1,False
3856,2,0,1,2,2,True
6302,0,0,0,0,0,True
3757,2,1,1,2,2,True
117,0,1,2,1,1,True
4020,1,0,2,2,1,False
3833,1,1,0,0,0,True
11021,2,0,0,0,0,True
12259,0,0,1,2,2,True
3179,0,1,0,0,0,True
3567,2,0,2,1,1,True
7025,2,0,0,0,0,True
12811,2,1,1,2,2,True
77,2,0,0,0,0,True
2829,2,0,2,1,1,True
5888,0,0,0,0,0,True
4419,0,1,2,1,1,True
10219,2,1,1,2,2,True
12581,1,1,0,0,0,True
3591,0,1,2,2,1,False
4862,0,0,0,0,0,True
3191,2,0,0,0,0,True
4928,2,1,0,0,0,True
8749,0,0,1,1,2,False
10411,1,0,1,2,2,True
1102,2,0,1,1,2,False
10937,0,1,0,0,0,True
8138,0,0,0,0,0,True
2672,1,0,0,0,0,True
5043,2,0,2,1,1,True
5985,0,1,2,1,1,True
2662,1,1,1,1,2,False
5142,2,1,2,1,1,True
12080,0,0,0,0,0,True
1763,1,1,0,0,0,True
9593,1,1,0,0,0,True
12918,2,1,2,2,1,False
11637,0,1,2,2,1,False
2036,0,0,0,0,0,True
10301,2,0,0,0,0,True
5045,2,0,0,0,0,True
8308,0,1,1,2,2,True
8510,2,1,0,0,0,True
6394,2,0,1,2,2,True
7976,0,0,0,0,0,True
3951,0,1,2,2,1,False
8753,2,0,0,0,0,True
8546,2,1,0,0,0,True
7350,1,0,2,2,1,False
10613,0,1,0,0,0,True
3725,1,1,0,0,0,True
10663,1,0,1,2,2,True
417,2,0,2,1,1,True
8617,2,1,1,2,2,True
6435,0,1,2,1,1,True
4437,0,1,2,1,1,True
4353,1,1,2,1,1,True
5851,0,0,1,1,2,False
7668,0,0,2,1,1,True
6553,0,0,1,2,2,True
11097,0,1,2,2,1,False
8744,2,1,0,0,0,True
11649,2,0,2,2,1,False
673,1,0,1,1,2,False
9741,2,0,2,1,1,True
9324,0,0,2,1,1,True
1884,2,1,2,1,1,True
2564,1,0,0,0,0,True
2316,2,1,2,1,1,True
5927,2,0,0,0,0,True
3609,0,1,2,2,1,False
6616,0,1,1,2,2,True
7035,1,1,2,2,1,False
11008,0,1,1,2,2,True
10222,1,1,1,2,2,True
12854,0,0,0,0,0,True
6794,1,0,0,0,0,True
9614,0,0,0,0,0,True
6567,1,1,2,2,1,False
671,2,0,0,0,0,True
3172,2,0,1,2,2,True
1585,0,0,1,1,2,False
8760,2,1,2,1,1,True
12431,0,1,0,0,0,True
3298,2,0,1,1,2,False
6076,0,1,1,1,2,False
8202,2,1,2,2,1,False
7914,2,1,2,2,1,False
5651,1,1,0,0,0,True
5331,2,0,2,1,1,True
11719,0,0,1,2,2,True
9078,1,0,2,1,1,True
1842,1,0,2,1,1,True
2222,1,0,0,0,0,True
8669,0,1,0,0,0,True
10227,2,0,2,1,1,True
8305,1,0,1,2,2,True
9005,2,0,0,0,0,True
3577,2,1,1,2,2,True
4564,0,1,1,1,2,False
1276,1,1,1,1,2,False
12444,1,0,2,2,1,False
12118,2,0,1,2,2,True
1642,2,0,1,1,2,False
9695,0,1,0,0,0,True
10727,1,1,0,0,0,True
4897,0,0,1,1,2,False
1949,2,0,0,0,0,True
7510,2,0,1,2,2,True
1331,1,1,0,0,0,True
141,1,1,2,1,1,True
12051,0,1,2,2,1,False
3982,2,0,1,2,2,True
5704,1,1,1,1,2,False
1325,0,1,0,0,0,True
1139,2,0,0,0,0,True
12856,2,0,1,2,2,True
9743,2,0,0,0,0,True
4583,0,1,0,0,0,True
11721,2,0,2,1,1,True
5924,0,0,0,0,0,True
1711,0,0,1,1,2,False
4110,1,0,2,2,1,False
7170,1,0,2,2,1,False
1069,1,0,1,1,2,False
2193,1,1,2,1,1,True
8075,0,1,0,0,0,True
12257,1,1,0,0,0,True
7693,1,0,1,2,2,True
8871,1,1,2,1,1,True
7370,1,0,0,0,0,True
9648,0,0,2,1,1,True
12958,1,1,1,2,2,True
2373,1,1,2,1,1,True
5967,0,1,2,1,1,True
10243,0,0,1,2,2,True
4390,1,1,1,1,2,False
9263,0,1,0,0,0,True
1015,1,0,1,1,2,False
5517,0,1,2,1,1,True
6564,2,1,2,1,1,True
2813,2,0,0,0,0,True
8127,0,1,2,2,1,False
3882,2,1,2,2,1,False
2725,1,0,1,2,2,True
5677,1,0,1,1,2,False
6628,2,0,1,2,2,True
3056,2,1,0,0,0,True
8713,0,0,1,1,2,False
5902,1,1,1,1,2,False
4642,1,1,1,1,2,False
1450,0,1,1,1,2,False
3988,0,1,1,2,2,True
4112,1,0,0,0,0,True
7164,0,0,2,2,1,False
7561,0,0,1,2,2,True
8817,1,1,2,2,1,False
8580,2,1,2,2,1,False
11254,2,0,1,2,2,True
9305,1,1,0,0,0,True
8032,2,0,1,2,2,True
11294,1,0,0,0,0,True
476,1,0,0,0,0,True
612,0,0,2,1,1,True
2573,1,1,0,0,0,True
9187,1,0,1,1,2,False
9671,2,0,0,0,0,True
542,0,0,0,0,0,True
5070,2,1,2,1,1,True
4964,2,1,0,0,0,True
6263,1,1,0,0,0,True
1951,1,0,1,1,2,False
